- Partner{idDbo=169, shortName=yoga-college-vienna, name=Yoga College Vienna, address=Neubaugürtel 47/5, 1150 Wien}
- Partner{idDbo=170, shortName=yoga-is-different, name=Yoga is different, address=Schlösselgasse 19/1, 1080 Wien}
- Partner{idDbo=171, shortName=yoga23, name=Yoga23, address=Ketzergasse 41/3, 1230 Wien}
- Partner{idDbo=172, shortName=yoga4yoginis, name=Yoga4Yoginis, address=Waaggasse 12, 1040 Wien}
- Partner{idDbo=173, shortName=yoga7, name=Yoga7, address=Burggasse 74/10, 1070 Wien}
- Partner{idDbo=174, shortName=yogainn, name=YogaInn, address=Sternwartestrasse 17, 1180 Wien}
- Partner{idDbo=175, shortName=yogakula, name=YogaKula, address=Bösendorferstraße 9, 1010 Wien}
- Partner{idDbo=176, shortName=yogalounge, name=Yogalounge, address=Seidlgasse 30, 1030 Wien}
- Partner{idDbo=177, shortName=yogarei, name=Yogarei, address=Gfornergasse 3/1/2, 1060 Wien}
- Partner{idDbo=178, shortName=yogaria, name=Yogaria, address=Strozzigasse 31, 1080 Wien}
- Partner{idDbo=179, shortName=yogart-studio, name=YogArt Studio, address=Nordbahnstrasse 16, 1020 Wien}
- Partner{idDbo=180, shortName=yogazentrum-ganesha, name=Yogazentrum Ganesha, address=Alserbachstraße 2/15, 1090 Wien}
- Partner{idDbo=181, shortName=zumba-im-loft25, name=Zumba im Loft25, address=Theresiengasse 47, 1180 Wien}
